Item;Apto Granja;Apto Bolivia;Comentario
PRECIO;315000000;307000000;8 millones de diferencia
ESTRATO;3;3;
ADMINISTRACION;115000;350000;235000
PARQUEADERO;SI;SI;
HABITACIONES;3;3;
ESTUDIO;1;0;
CLOSETS;En 2 habitaciones;SI;
BAÒOS;2;2;
VENTILACION;NO;SI;
REQUIERE REMODELAR;SI;NO;Presupuesto remodelacion $16.000.000
PISOS;1;4;
ESCALERAS;SI;SI;
COCINA;SI;SI;
EXTRACTOR;NO;SI;Presupuesto $3.500.000
CENTRO DE ENTRETENIMIENTO;NO;SI;
ILUMINACION AHORRADORA;SI;NO;Casa esquinera
IMPUESTO PREDIAL;500000;450000;
METRAJE;78;69;
DISTANCIA TRANSPORTE;11;23;11 minutos granja o 13 a av cali , 23 minutos portal de la 80
CORTINAS;SI;SI;
